40.77.167.204 bot - "2019-02-22 00:30:40" http://mabasan.kemdikbud.go.id/index.php/MABASAN/index 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.71.71 bot - "2019-02-22 02:17:31" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/download/60/31 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
40.77.167.3 bot - "2019-02-22 02:42:56" http://mabasan.kemdikbud.go.id/index.php/MABASAN/issue/view/17 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.71.66 bot - "2019-02-22 03:12:01" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/download/135/105 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
46.229.168.129 - - "2019-02-22 03:17:20" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/download/80/51 200 "Mozilla/5.0 (compatible; SemrushBot/3~bl; +http://www.semrush.com/bot.html)"
64.233.173.39 - - "2019-02-22 03:45:29" http://mabasan.kemdikbud.go.id/index.php/MABASAN/index 200 "Mozilla/5.0 (Linux; Android 7.1.1; CPH1723) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.105 Mobile Safari/537.36"
64.233.173.33 - - "2019-02-22 03:45:56" http://mabasan.kemdikbud.go.id/index.php/MABASAN/index 200 "Mozilla/5.0 (Linux; Android 7.1.1; CPH1723) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.105 Mobile Safari/537.36"
64.233.173.39 - - "2019-02-22 03:46:07" http://mabasan.kemdikbud.go.id/index.php/MABASAN/index 200 "Mozilla/5.0 (Linux; Android 7.1.1; CPH1723) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.105 Mobile Safari/537.36"
64.233.173.36 - - "2019-02-22 03:46:18" http://mabasan.kemdikbud.go.id/index.php/MABASAN/issue/view/9 200 "Mozilla/5.0 (Linux; Android 7.1.1; CPH1723) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.105 Mobile Safari/537.36"
64.233.173.36 - - "2019-02-22 03:46:51" http://mabasan.kemdikbud.go.id/index.php/MABASAN/issue/view/9 200 "Mozilla/5.0 (Linux; Android 7.1.1; CPH1723) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.105 Mobile Safari/537.36"
64.233.173.36 - - "2019-02-22 03:47:32" http://mabasan.kemdikbud.go.id/index.php/MABASAN/issue/view/21 200 "Mozilla/5.0 (Linux; Android 7.1.1; CPH1723) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.105 Mobile Safari/537.36"
64.233.173.36 - - "2019-02-22 03:47:44" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/144 200 "Mozilla/5.0 (Linux; Android 7.1.1; CPH1723) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.105 Mobile Safari/537.36"
64.233.173.33 - - "2019-02-22 03:47:52" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/download/144/114 200 "Mozilla/5.0 (Linux; Android 7.1.1; CPH1723) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.105 Mobile Safari/537.36"
64.233.173.36 - - "2019-02-22 03:48:16" http://mabasan.kemdikbud.go.id/index.php/MABASAN/issue/view/9 200 "Mozilla/5.0 (Linux; Android 7.1.1; CPH1723) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.105 Mobile Safari/537.36"
64.233.173.39 - - "2019-02-22 03:48:32" http://mabasan.kemdikbud.go.id/index.php/MABASAN/index 200 "Mozilla/5.0 (Linux; Android 7.1.1; CPH1723) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.105 Mobile Safari/537.36"
